,Ratings,Jobs,Salaries,Locations
309,3.1,"CIVIL AUTOCAD DESIGNER S&ME, Inc.",$32-$53,"Pittsburgh, PA"
310,2.8,Crane Operator Universal Stainless,NaN,"Bridgeville, PA"
311,3.2,Senior Living Advisor A Place for Mom,$27-$55,"Pittsburgh, PA"
312,3.6,Banquet Server Concord Hospitality,NaN,"Pittsburgh, PA"
313,NaN,Transport Service Logo 5.0CDL-A Company Solo and Team OTR Drivers - New Pay Increase! Guaranteed Transport Service,NaN,"Pittsburgh, PA"
314,3.2,Line Cooks - Start at  per hour! Red Robin,$12-$10-$15,"Monroeville, PA"
315,3.6,Housekeeper-Hyatt House Pittsburgh Bloomfield Concord Hospitality,NaN,"Pittsburgh, PA"
316,3.1,Prior Authorization Nurse I Centene Corporation,$22-$32,"Pittsburgh, PA"
317,3.1,Digital Marketing Specialist Barkley,$29-$46,"Pittsburgh, PA"
318,3.6,Valet Attendant - Hyatt House Pittsburgh/South Side Concord Hospitality,$7--$10,"Pittsburgh, PA"
319,3.3,Market / Operations Manager Dominion Enterprises,$61-$95,"Pittsburgh, PA"
320,4.1,Restaurant Supervisor Kimpton Hotels & Restaurants,$34-$45,"Pittsburgh, PA"
321,NaN,Engineering Technician Heritage Electrical Services,NaN,"Imperial, PA"
322,2.1,LPN Renewal,NaN,"Pittsburgh, PA"
323,3.6,Nurse Supervisor - Registered Nurse (RN) Aveanna Healthcare,$73-$11,"Pittsburgh, PA"
324,3.6,Clinical Care Manager - Registered Nurse (RN) Aveanna Healthcare,$38-$62,"Pittsburgh, PA"
325,3.6,Front Desk Clerk - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,NaN,"Pittsburgh, PA"
326,3.5,Visual Communications Design Supervisor Levin Furniture,$36-$56,"Pittsburgh, PA"
327,3.7,Direct Support- Brain Injury ReMed,NaN,"Gibsonia, PA"
328,3.6,Restaurant Host(ess) Concord Hospitality,NaN,"Pittsburgh, PA"
329,3.1,Water Restoration Lead Technician Roto-Rooter,$53-$91,"Pittsburgh, PA"
330,4.5,Executive Chef Resort Lifestyle Communities,$37-$69,"Bridgeville, PA"
331,2.9,Registered Nurse - RN- Sign On Bonus up to  HCR ManorCare,$10-$16-$27,"Pittsburgh, PA"
332,3.1,Food Service Co-worker (12-19 hours per week) IKEA,NaN,"Pittsburgh, PA"
333,3.0,Budget Analyst II Dollar Bank,$38-$59,"Pittsburgh, PA"
334,3.6,Restaurant Attendant-Busser Concord Hospitality,$7--$9 ,"Pittsburgh, PA"
335,4.1,Management Trainee Hajoca Corporation,$40-$60,"Pittsburgh, PA"
336,4.1,Financial Advisor Edward Jones,NaN,"Pittsburgh, PA"
337,4.3,LOCAL DRIVER-CLASS A-FULL TIME .98 Ward Trucking LLC,$26,"Harmarville, PA"
338,3.6,Overnight Bellperson Concord Hospitality,NaN,"Pittsburgh, PA"
339,4.0,Shipt Shopper Shipt,NaN,"Pittsburgh, PA"
340,5.0,Customer Service Manager Precision Recruiting Solutions Group,$65-$75,"Carnegie, PA"
341,1.0,Automotive Technician/ P.A. State & Emissions Inspector Monro Inc.,NaN,"Pittsburgh, PA"
342,4.3,Social Sales Coordinator Spreadshirt,$25-$38,"Greensburg, PA"
343,4.2,Quality Assurance Auditor LendingHome,NaN,"Pittsburgh, PA"
344,3.5,MERCHANDISING Home Depot,$9--$14,"Pittsburgh, PA"
345,4.2,General Dentist DentalOne Partners,$12-$20,"Pittsburgh, PA"
346,3.5,Restaurant Manager -,NaN,"Pittsburgh, PA"
347,3.1,Water Restoration Technician Roto-Rooter,$45-$78,"Pittsburgh, PA"
348,3.7,Truck Drivers - Class A CDL - k Sign On Bonus - Hiring Event 3/28/19 thru 3/30/19 - K to 0K/Yr Black Horse Carriers,$10-$80-,"Saxonburg, PA"
349,3.6,Restaurant Host(ess) Concord Hospitality,NaN,"Pittsburgh, PA"
350,3.3,CDL A Driver Cardinal Logistics Management,NaN,"Pittsburgh, PA"
351,3.5,Relief Veterinary Technician - Emergency BluePearl Veterinary Partners,$12-$19,"Pittsburgh, PA"
352,2.9,Licensed Practical Nurse - LPN HCR ManorCare,$17-$23,"Pittsburgh, PA"
353,3.6,Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
354,3.6,Lounge Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
355,3.6,Dishwasher Concord Hospitality,NaN,"Pittsburgh, PA"
356,2.7,Housekeeping Supervisor BridgeStreet Global Hospitality,$28-$42,"Pittsburgh, PA"
357,3.6,Banquet Houseperson Concord Hospitality,NaN,"Pittsburgh, PA"
358,3.6,"Registered Nurse - Relocation to Oregon - ,000 Bonus! PeaceHealth",$20-$35-,"Pittsburgh, PA"
359,NaN,"Curative Coordinator Key Personnel Services  Green Tree,",$15-$20,"Allegheny, PA"
360,3.6,Housekeeper/Room Care - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,$8--$12,"Pittsburgh, PA"
361,4.4,Class A CDL Delivery Truck Driver ABC Supply co.,NaN,"Carnegie, PA"
362,NaN,Nurse (RN) - 000 Sign on Bonus SSC Coraopolis Operating Company LP,"$5,","Pittsburgh, PA"
363,4.3,LOCAL DRIVER-CLASS A-FULL TIME .98 Ward Trucking LLC,$26,"Harmarville, PA"
364,3.6,Room Service Server Concord Hospitality,NaN,"Pittsburgh, PA"
365,2.6,Paid CDL Truck Driver Training Roehl Transport,NaN,"Pittsburgh, PA"
366,3.4,Certified Nursing Assistant ATC Healthcare,NaN,"Pittsburgh, PA"
367,3.6,Senior AR/VR Software Engineer General Dynamics Mission Systems,$80-$12,"Pittsburgh, PA"
368,3.6,Store Team Member - #468 - Overnight Sheetz,NaN,"Pittsburgh, PA"
369,4.0,Shipt Shopper - Earn up to  an Hour to Grocery Shop! Shipt,$22,"Pittsburgh, PA"
370,3.2,Line Cooks - Start at  per hour! Red Robin,$12-$10-$15,"Monroeville, PA"
371,3.6,Clinical Care Manager - Registered Nurse (RN) Aveanna Healthcare,$38-$62,"Pittsburgh, PA"
372,2.8,Nurse Supervisor - Registered Nurse (RN) Epic Health Services,$43-$65,"Pittsburgh, PA"
373,3.1,"GEOTECHNICAL ENGINEER / ASSOCIATE PROJECT MANAGER S&ME, Inc.",$43-$56,"Pittsburgh, PA"
374,2.9,Licensed Practical Nurse - LPN Sign-on Bonus up to HCR ManorCare,$7 -$17-$23,"Pittsburgh, PA"
375,4.3,Hair Stylist Great Clips,NaN,"Pittsburgh, PA"
376,3.8,Customer Service Specialist Best Buy,$9--$12,"Pittsburgh, PA"
377,4.3,Data Analyst-Internal Tools Development Uber,$57-$89,"Pittsburgh, PA"
378,4.4,Regional and OTR Truck Driver Don Hummer Trucking,NaN,"Pittsburgh, PA"
379,3.1,Key Holder (part-time)/Shift Supervisor Vitamin Shoppe,$10-$13,"Pittsburgh, PA"
380,4.4,General Laborer - Entry Level Pest Control Technician/Applicator Aptive Environmental,NaN,"Pittsburgh, PA"
381,2.8,Clinical Care Manager - Registered Nurse (RN) Epic Health Services,$39-$59,"Pittsburgh, PA"
382,3.5,Veterinary Technician - Surgery BluePearl Veterinary Partners,$12-$19,"Pittsburgh, PA"
383,3.2,Line Cooks - Start at .25+ per hour! Red Robin,$11-$10-$15,"Tarentum, PA"
384,3.6,Store Team Member - #204 - Overnight Sheetz,$18-$23,"Murrysville, PA"
385,3.4,Licensed Practical Nurse (LPN) ATC Healthcare,NaN,"Pittsburgh, PA"
386,4.3,Delivery Partner - Weekly Pay Uber Eats,NaN,"Pittsburgh, PA"
387,4.2,Digital Sales Representative:,NaN,"Pittsburgh, PA"
388,2.9,eCOA Project Manager II eResearchTechnology,$47-$75,"Pittsburgh, PA"
389,3.0,Summer Help Call Center Dollar Bank,NaN,"Pittsburgh, PA"
390,4.3,CNC Field Service Technician Morris Group,NaN,"Pittsburgh, PA"
391,3.6,Non-Exempt Asst Chief Engineer Concord Hospitality,NaN,"Pittsburgh, PA"
392,3.3,Highway Engineer GAI Consultants,$48-$66,"Pittsburgh, PA"
393,3.6,Banquet Server Concord Hospitality,NaN,"Pittsburgh, PA"
394,3.1,Now hiring full time teachers Bright Horizons Family Solutions,NaN,"Pittsburgh, PA"
395,3.0,"Personal Banker, Fourth Avenue Dollar Bank",$26-$35,"Pittsburgh, PA"
396,3.0,Certified Nursing Assistant CNA Transitions Healthcare  North,$13-$14,"Huntingdon, PA"
397,2.8,Sales Representative - Base Plus Commission Champion Window,NaN,"Pittsburgh, PA"
398,3.2,Dishwashers - Start at  per hour! Red Robin,$10-$7--$12,"Monroeville, PA"
399,3.7,Truck Driver - Class A CDL - K - 0K/Yr! Black Horse Carriers,$80-$10,"Saxonburg, PA"
400,3.7,Truck Drivers - Class A CDL - k Sign On Bonus - Hiring Event 3/25/19 & 3/26/19 - K to 0K/Yr Black Horse Carriers,$10-$80-,"Saxonburg, PA"
401,3.5,Medical Director BluePearl Veterinary Partners,NaN,"Pittsburgh, PA"
402,3.6,Store Team Member - #204 - Weekends Sheetz,$18-$23,"Murrysville, PA"
403,3.7,HVAC Service Technician * Sign on Bonus!* ARS Rescue Rooter,$2K-$14-$26,"Pittsburgh, PA"
404,3.6,Front Desk Clerk - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,NaN,"Pittsburgh, PA"
405,3.5,Restaurant Manager -,NaN,"Pittsburgh, PA"
406,3.1,Water Restoration Technician Roto-Rooter,$45-$78,"Pittsburgh, PA"
407,3.7,Truck Drivers - Class A CDL - k Sign On Bonus - Hiring Event 3/28/19 thru 3/30/19 - K to 0K/Yr Black Horse Carriers,$10-$80-,"Saxonburg, PA"
408,4.3,Manufacturing Operations Manager Uber,$57-$89,"Pittsburgh, PA"
409,3.4,Software Developer PNC Financial Services Group,$61-$95,"Pittsburgh, PA"
410,3.3,CDL A Driver Cardinal Logistics Management,NaN,"Pittsburgh, PA"
411,3.6,Restaurant Host(ess) Concord Hospitality,NaN,"Pittsburgh, PA"
412,3.5,Relief Veterinary Technician - Emergency BluePearl Veterinary Partners,$12-$19,"Pittsburgh, PA"
413,3.6,Lounge Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
414,2.9,Licensed Practical Nurse - LPN HCR ManorCare,$17-$23,"Pittsburgh, PA"
415,3.6,Dishwasher Concord Hospitality,NaN,"Pittsburgh, PA"
416,3.6,Bartender Concord Hospitality,NaN,"Pittsburgh, PA"
417,2.7,Housekeeping Supervisor BridgeStreet Global Hospitality,$28-$42,"Pittsburgh, PA"
418,3.5,Medical Assistant/LPN (Full Time) -,NaN,"Pittsburgh, PA"
419,3.6,"Registered Nurse - Relocation to Oregon - ,000 Bonus! PeaceHealth",$20-$35-,"Pittsburgh, PA"
420,3.8,Oracle EBS - Lead Business Analyst Service Industrial Scientific Corp,$76-$11,"Pittsburgh, PA"
421,2.9,Project Software Quality Engineer eResearchTechnology,$58-$85,"Pittsburgh, PA"
422,3.6,Banquet Houseperson Concord Hospitality,NaN,"Pittsburgh, PA"
423,3.6,Housekeeper/Room Care - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,$8--$12,"Pittsburgh, PA"
424,NaN,"Curative Coordinator Key Personnel Services  Green Tree,",$15-$20,"Allegheny, PA"
425,4.4,Class A CDL Delivery Truck Driver ABC Supply co.,NaN,"Carnegie, PA"
426,3.6,Store Team Member - #72 - Overnight Sheetz,$18-$23,"Youngwood, PA"
427,3.6,Room Service Server Concord Hospitality,NaN,"Pittsburgh, PA"
428,NaN,Nurse (RN) - 000 Sign on Bonus SSC Coraopolis Operating Company LP,"$5,","Pittsburgh, PA"
429,4.3,LOCAL DRIVER-CLASS A-FULL TIME .98 Ward Trucking LLC,$26,"Harmarville, PA"
430,3.4,Certified Nursing Assistant ATC Healthcare,NaN,"Pittsburgh, PA"
431,2.7,Environmental Services Housekeeping Lutheran SeniorLife,$7--$10,"Mars, PA"
432,2.6,Paid CDL Truck Driver Training Roehl Transport,NaN,"Pittsburgh, PA"
433,3.6,Senior AR/VR Software Engineer General Dynamics Mission Systems,$80-$12,"Pittsburgh, PA"
434,3.6,Store Team Member - #468 - Overnight Sheetz,NaN,"Pittsburgh, PA"
435,3.2,Line Cooks - Start at  per hour! Red Robin,$12-$10-$15,"Monroeville, PA"
436,4.0,Shipt Shopper - Earn up to  an Hour to Grocery Shop! Shipt,$22,"Pittsburgh, PA"
437,2.8,Nurse Supervisor - Registered Nurse (RN) Epic Health Services,$43-$65,"Pittsburgh, PA"
438,3.6,Clinical Care Manager - Registered Nurse (RN) Aveanna Healthcare,$38-$62,"Pittsburgh, PA"
439,2.9,Licensed Practical Nurse - LPN Sign-on Bonus up to HCR ManorCare,$7 -$17-$23,"Pittsburgh, PA"
440,4.2,Quality Assurance Auditor LendingHome,NaN,"Pittsburgh, PA"
441,3.9,Retail Sales Specialist REI,$10-$16,"Pittsburgh, PA"
442,3.1,"GEOTECHNICAL ENGINEER / ASSOCIATE PROJECT MANAGER S&ME, Inc.",$43-$56,"Pittsburgh, PA"
443,4.3,Hair Stylist Great Clips,NaN,"Pittsburgh, PA"
444,2.6,Flatbed Owner Operator/Lease Purchase Driver - 0k - 0k/Yr Gross!! Home Wk Ends Carrier One,$26-$30,"Pittsburgh, PA"
445,4.0,Grocery Shopper Part Time Shipt,NaN,"Pittsburgh, PA"
446,3.4,Physician_Hospitalist US Department of Veterans Affairs,$21-$30,"Pittsburgh, PA"
447,4.6,Licensed Practical Nurse (LPN) | 25-35/hr | IntelyCare,$62-$83,"Pittsburgh, PA"
448,3.1,Key Holder/Shift Supervisor Vitamin Shoppe,$10-$13,"Pittsburgh, PA"
449,2.7,Daytime Houseperson BridgeStreet Global Hospitality,$22-$25,"Pittsburgh, PA"
450,2.7,Company Truck Driver Roadrunner Transportation Systems,NaN,"Pittsburgh, PA"
451,3.5,Part-Time Sales Associate Levin Furniture,NaN,"Wexford, PA"
452,3.5,Interior Design Sales Professional Levin Furniture,$21-$37,"Pittsburgh, PA"
453,3.0,"Personal Banker, Brentwood Dollar Bank",$26-$35,"Pittsburgh, PA"
454,3.1,"Teacher, Lead Child Care Bright Horizons Family Solutions",$9--$13,"Pittsburgh, PA"
455,4.0,Shipt Shopper Shipt,NaN,"Pittsburgh, PA"
456,3.4,Senior Software Engineer- Android (PT18) DICK'S Sporting Goods,$12-$21,"Coraopolis, PA"
457,3.6,Lounge Bartender- Part Time Concord Hospitality,NaN,"Pittsburgh, PA"
458,3.5,CDL-A Truck Driver Heartland Express,NaN,"Pittsburgh, PA"
459,4.2,Construction Project Manager/Superintendent - Home Reconstruction - ResiPro,NaN,"Pittsburgh, PA"
460,3.3,Nurse Needed (RN or LPN) eKidzCare,$17-$30,"Munhall, PA"
461,3.0,Clinic RN InnovAge,$17-$29,"Allegheny, PA"
462,NaN,Transport Service Logo 5.0CDL-A Company Solo and Team OTR Drivers - New Pay Increase! Guaranteed Transport Service,NaN,"Pittsburgh, PA"
463,3.5,Registered Nurse RN Team Lead Med/Surg Carilion Clinic,$58-$88,"Pittsburgh, PA"
464,3.6,Banquet Chef Concord Hospitality,$31-$47,"Pittsburgh, PA"
465,2.8,Cosmetics Sales Consultant (PT 15-19 hrs) Boscov's,NaN,"Whitehall, PA"
466,4.1,Tax Expert,$40-$56,CPA
467,3.5,Registered Nurse RN - Medical PCU - Sign On Bonus Available Carilion Clinic,$19-$32,"Pittsburgh, PA"
468,2.7,Owner Operator Truck Driver Roadrunner Transportation Systems,NaN,"Pittsburgh, PA"
469,3.3,Automotive Technician - Entry Level Valvoline Instant Oil Change  Mc,NaN,"Murray, PA"
470,2.9,Registered Nurse - RN *Every Weekend Treatment Nurse HCR ManorCare,$16-$27,"Pittsburgh, PA"
471,4.2,Sales / Marketing Manager Universal Windows Direct,$28-$58,"Pittsburgh, PA"
472,4.1,Restaurant Supervisor Kimpton Hotels & Restaurants,$34-$45,"Pittsburgh, PA"
473,4.2,Valuations Analyst LendingHome,$44-$65,"Pittsburgh, PA"
474,2.7,Commercial Service Tech III. ADT Security Services,NaN,"Bridgeville, PA"
475,3.2,Driver Pizza Hut,NaN,"Pittsburgh, PA"
476,3.0,Compliance Quality Control Officer Dollar Bank,NaN,"Pittsburgh, PA"
477,NaN,Practical Nurse (LPN)/Licensed Vocational Nurse (LVN) SSC Coraopolis Operating Company LP,NaN,"Pittsburgh, PA"
478,2.6,Sales / Marketing Consultant Sinclair Broadcast Group,$35-$73,"Pittsburgh, PA"
479,2.7,Nurse Aide Trainee Lutheran SeniorLife,NaN,"Mars, PA"
480,2.9,Blended Case,NaN,Manager – PA
481,3.3,Hydrogeologist GAI Consultants,NaN,"Pittsburgh, PA"
482,3.6,Store Team Member - #618 - Days/Evenings Sheetz,$18-$23,"Butler, PA"
483,2.7,Senior Data Engineer GTL,$73-$99,"Pittsburgh, PA"
484,3.6,Store Team Member - #353 - Overnight Sheetz,$18-$23,"Pittsburgh, PA"
485,2.9,RN - Registered Nurse HCR ManorCare,$16-$27,"Pittsburgh, PA"
486,3.6,Part-Time Laundry Attendant Concord Hospitality,NaN,"Pittsburgh, PA"
487,2.7,Application Support Engineer-4 York Risk Services Group,$78-$10,"Pittsburgh, PA"
488,3.0,Assistant Branch Manager Trainee Dollar Bank,$23-$32,"Pittsburgh, PA"
489,4.3,Work in Customer Service? Earn Extra Cash Uber,$11-$15,"Pittsburgh, PA"
490,4.2,Orthodontic Assistant Part Time DentalOne Partners,$13-$20,"Pittsburgh, PA"
491,3.1,Sales Associate / Health Enthusiast Part-Time Vitamin Shoppe,NaN,"Pittsburgh, PA"
492,3.4,Entry Level Sales - Retail Marketing Division Steel River Marketing,NaN,"Pittsburgh, PA"
493,2.8,Remelt Utility Universal Stainless,NaN,"Bridgeville, PA"
494,4.9,Electrical Engineer Carnegie Robotics LLC,$63-$96,"Pittsburgh, PA"
495,3.4,Clinical Psychologist (Clinical Video Telehealth) US Department of Veterans Affairs,NaN,"Pittsburgh, PA"
496,3.3,Auto Tech - Flexible Hours Valvoline Instant Oil Change  Mc,$70-$12,"Murray, PA"
497,3.3,Host / Hostess Fogo de Chão Churrascaria,$9--$14,"Pittsburgh, PA"
498,3.9,Architectural Site Surveyor Menemsha Development,NaN,"Pittsburgh, PA"
499,3.7,Verizon Sales Representative Cellular Sales,NaN,"Pittsburgh, PA"
500,3.1,Res Program Supervisor InVision Human Services,$28-$43,"Wexford, PA"
501,3.6,Night Auditor - SpringHill Suites Bakery Square Concord Hospitality,NaN,"Pittsburgh, PA"
502,3.6,Housekeeper/Room Attendant Concord Hospitality,$8--$12,"Pittsburgh, PA"
503,4.0,"Applications Engineer Aerotech, Inc.",$47-$73,"Pittsburgh, PA"
504,4.3,Learning and Development Manager Oncology Nursing Society,$39-$69,"Pittsburgh, PA"
505,4.2,Sr. Product Manager LendingHome,$10-$15,"Pittsburgh, PA"
506,3.3,"**REGIONAL OTR **Home Weekly Epes Transport System, LLC.",NaN,"Pittsburgh, PA"
507,4.0,Retail Shopper Part Time Shipt,NaN,"Pittsburgh, PA"
508,2.9,Registered Nurse - RN Sign On Bonus HCR ManorCare,$16-$27,"Pittsburgh, PA"
509,2.9,"Registered Nurse - RN ,000 Sign On Bonus HCR ManorCare",$10-$16-$27,"Pittsburgh, PA"
510,3.6,Housekeeper-Hyatt House Pittsburgh Bloomfield Concord Hospitality,NaN,"Pittsburgh, PA"
511,2.6,Truck Driver | Change Your Career & Get Paid While You Get Your CDL | Entry Level / Paid Training Roehl Transport,NaN,"Pittsburgh, PA"
512,3.3,CDL A Truck Driver Company Drivers Cardinal Logistics Management,NaN,"Pittsburgh, PA"
513,4.1,Tax Expert,$40-$56,CPA
514,2.9,"Manager, Software Quality Engineering (Automation) eResearchTechnology",$75-$10,"Pittsburgh, PA"
515,4.3,Part-Time Delivery - Uber Eats Uber Eats,NaN,"Pittsburgh, PA"
516,3.0,Class A Truck Driver Clean Harbors,NaN,"Pittsburgh, PA"
517,3.5,Registered Nurse RN Team Lead Med/Surg - Relocation Carilion Clinic,$61-$91,"Pittsburgh, PA"
518,3.3,CDL A Truck Driver Company Drivers Pittsburgh Cardinal Logistics Management,NaN,"Dormont, PA"
519,3.6,Line Cook Concord Hospitality,NaN,"Pittsburgh, PA"
520,3.5,Registered Nurse RN Team Lead Med/Surg - Relocation to VA Carilion Clinic,$58-$88,"Pittsburgh, PA"
521,3.3,CDL A Truck Driver Company Drivers Leesport Cardinal Logistics Management,NaN,"Whitehall, PA"
522,2.9,CDL-A Dedicated Truck Driver - Earn k+ per year! Red Classic,$75,"Pittsburgh, PA"
523,3.5,Registered Nurse RN - Medical PCU - Sign On Bonus Available - Relocation to VA Carilion Clinic,$19-$32,"Pittsburgh, PA"
524,3.4,Truck Driver - Hiker/CDL  Part Time (Neville Island Penske Truck Leasing,NaN,"Pittsburgh, PA"
525,3.4,Truck Driver  CDL Class A/Touch Freight  CASUAL - Penske Logistics Penske Logistics,NaN,"Ambridge, PA"
526,4.3,Uber Eats Part-Time Delivery Uber Eats,NaN,"Pittsburgh, PA"
527,2.7,LTL Linehaul Owner Operator & Lease Purchase Truck Driver Roadrunner Transportation Systems,NaN,"Pittsburgh, PA"
528,3.5,Registered Nurse RN - Medical PCU - Sign On Bonus Available - Relocation Carilion Clinic,$19-$32,"Pittsburgh, PA"
529,4.0,Seasonal Retail Shopper Shipt,$9--$12,"Pittsburgh, PA"
530,4.1,Hair Stylist Sport Clips,NaN,"Pittsburgh, PA"
531,1.0,Automotive Technician/ P.A. State & Emissions Inspector Monro Inc.,NaN,"Pittsburgh, PA"
532,3.8,RN / REGISTERED NURSE / EP LAB RN / CATH LAB NURSE Aureus Medical Group,$18-$32,"Pittsburgh, PA"
533,4.3,Delivery Partner - Uber Eats Uber Eats,NaN,"Pittsburgh, PA"
534,3.3,Auto Tech Valvoline Instant Oil Change  Mc,NaN,"Murray, PA"
535,3.4,Diesel Technician/Mechanic III  Entry Level Penske Truck Leasing,NaN,"Pittsburgh, PA"
536,4.0,US-Specialist Apple,NaN,"Pittsburgh, PA"
537,3.4,Underwriting Associate - Commercial PNC Financial Services Group,$35-$54,"Pittsburgh, PA"
538,3.6,Housekeeping Supervisor Concord Hospitality,$22-$32,"Pittsburgh, PA"
539,NaN,Engineering Technician Heritage Electrical Services,NaN,"Imperial, PA"
540,2.7,Regional Clinical Director Lutheran SeniorLife,$47-$67,"Sewickley, PA"
541,3.5,Visual Communications Design Supervisor Levin Furniture,$36-$56,"Pittsburgh, PA"
542,3.7,"Engineer, Automation Systems Allegheny Technologies (ATI)",$64-$87,"Pittsburgh, PA"
543,3.9,Software Engineer - C# / ASP.NET Ivalua,$70-$12,"Pittsburgh, PA"
544,3.5,Stock Handler (Travel Required) Levin Furniture,NaN,"Pittsburgh, PA"
545,2.8,Cashier Guckenheimer,$10-$13,"Cheswick, PA"
546,3.6,Chief Engineer-Hourly Concord Hospitality,NaN,"Pittsburgh, PA"
547,3.6,Bistro Attendant - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,NaN,"Pittsburgh, PA"
548,NaN,Group Supervisor Montgomery's Country Kids,NaN,"Zelienople, PA"
549,3.2,"Sales Associate, Robinson Town Centre Talbots",NaN,"Pittsburgh, PA"
550,3.7,Direct Support Professional- Brain Injury ReMed,NaN,"Jeannette, PA"
551,4.4,"Urologist (Machias, ME) Down East Community Hospital",NaN,"Pittsburgh, PA"
552,2.6,"Plumbing Technician - SIGN ON BONUS Remco, Inc.",NaN,"Greensburg, PA"
553,5.0,Field Service Technician Cameron Craig Group,NaN,"Pittsburgh, PA"
554,3.1,RCBK3 - Residential Counselor InVision Human Services,NaN,"Madison, PA"
555,3.7,Overnight Direct Support Professional- Brain Injury ReMed,NaN,"Jeannette, PA"
556,3.4,Archaeological Field Director (Project Archaeologist) SWCA,$36-$68,"Bridgeville, PA"
557,3.7,Outside Sales Representative in Cranberry,NaN,"Township, PA"
558,3.3,Warehouse Associate -SPT SGS Consulting,NaN,"Warrendale, PA"
559,3.5,Part-Time Financial Data Analyst Broadridge,$46-$68,"Pittsburgh, PA"
560,3.0,"Sales / Design Consultant The Tile Shop, Inc.",NaN,"Pittsburgh, PA"
561,3.4,Community Living Professional (FT) - Direct Care Achieva,NaN,"Greensburg, PA"
562,3.6,Housekeeper/Room Care Concord Hospitality,$8--$12,"Pittsburgh, PA"
563,4.0,"Machine Shop Production Clerk Aerotech, Inc.",NaN,"Pittsburgh, PA"
564,3.4,"Director, Sales Development Proofpoint",NaN,"Pittsburgh, PA"
565,3.6,Restaurant Server Concord Hospitality,NaN,"Pittsburgh, PA"
566,3.0,Personal Banker Supervisor Dollar Bank,$25-$34,"Pittsburgh, PA"
567,2.9,Jenbacher Field Service Technician Penn Power Group,$15-$25,"Pittsburgh, PA"
568,4.3,Uber Driver Partner - Supplement your Internship Income Uber,NaN,"Pittsburgh, PA"
569,3.6,Field Operations Manager Verizon,$67-$10,"Pittsburgh, PA"
570,3.1,RCBK1 - Residential Counselor InVision Human Services,NaN,"Madison, PA"
571,2.9,eCOA Project Manager II eResearchTechnology,$47-$75,"Pittsburgh, PA"
572,3.0,Summer Help Call Center Dollar Bank,NaN,"Pittsburgh, PA"
573,4.3,CNC Field Service Technician Morris Group,NaN,"Pittsburgh, PA"
574,2.7,Certified Nurse Assistant (CNA) Lutheran SeniorLife,$11-$14,"Mars, PA"
575,3.6,Non-Exempt Asst Chief Engineer Concord Hospitality,NaN,"Pittsburgh, PA"
576,3.1,Now hiring full time teachers Bright Horizons Family Solutions,NaN,"Pittsburgh, PA"
577,3.3,Highway Engineer GAI Consultants,$48-$66,"Pittsburgh, PA"
578,3.7,Territory Manager I (Home office based in NE territory) Westlake Chemical,NaN,"Pittsburgh, PA"
579,3.6,Banquet Server Concord Hospitality,NaN,"Pittsburgh, PA"
580,3.0,"Personal Banker, Fourth Avenue Dollar Bank",$26-$35,"Pittsburgh, PA"
581,3.2,Assistant Manager Wendys,$24-$39,"Pittsburgh, PA"
582,3.0,Certified Nursing Assistant CNA Transitions Healthcare  North,$13-$14,"Huntingdon, PA"
583,3.2,Dishwashers - Start at  per hour! Red Robin,$10-$7--$12,"Monroeville, PA"
584,2.9,Senior Quality Assurance Auditor eResearchTechnology,NaN,"Pittsburgh, PA"
585,2.8,Sales Representative - Base Plus Commission Champion Window,NaN,"Pittsburgh, PA"
586,3.7,Truck Drivers - Class A CDL - k Sign On Bonus - Hiring Event 3/25/19 & 3/26/19 - K to 0K/Yr Black Horse Carriers,$10-$80-,"Saxonburg, PA"
587,3.7,Truck Driver - Class A CDL - K - 0K/Yr! Black Horse Carriers,$80-$10,"Saxonburg, PA"
588,3.6,Store Team Member - #204 - Weekends Sheetz,$18-$23,"Murrysville, PA"
589,3.5,Veterinary Technician - Internal Medicine BluePearl Veterinary Partners,$12-$19,"Washington, PA"
590,3.7,HVAC Service Technician * Sign on Bonus!* ARS Rescue Rooter,$2K-$14-$26,"Pittsburgh, PA"
591,3.5,Medical Director BluePearl Veterinary Partners,NaN,"Pittsburgh, PA"
592,2.9,"Registered Nurse - RN *Admissions Nurse/House Supervisor Sign-on Bonus ,000 Approximately HCR ManorCare",$10-$16-$28,"Pittsburgh, PA"
593,3.6,Front Desk Clerk - Courtyard by Marriott Pittsburgh Shadyside Concord Hospitality,NaN,"Pittsburgh, PA"
594,3.5,Restaurant Manager -,NaN,"Pittsburgh, PA"
595,3.1,Water Restoration Technician Roto-Rooter,$45-$78,"Pittsburgh, PA"
596,3.4,DevOps Software Engineer Proofpoint,$84-$14,"Pittsburgh, PA"
597,3.7,Truck Drivers - Class A CDL - k Sign On Bonus - Hiring Event 3/28/19 thru 3/30/19 - K to 0K/Yr Black Horse Carriers,$10-$80-,"Saxonburg, PA"
598,2.9,Sales Operations Intern eResearchTechnology,NaN,"Pittsburgh, PA"
